idnr;uthestenavn
30002649;Queen Mambo 
30002650;Rosatima 
30002651;Carpe Diem 
30002652;Card Sharper 
30002653;Miss Chelsea 
30002660;Songnette 
30002661;Amazing Song 
30002680;BLESA     
30002682;Desert Springtime 
30002683;ATHLEET     
30002684;Robi     
30002700;Soul Driver 
30002701;MISCHA     
30002702;Hands Up 
30002704;Fair Mile 
30002705;Fortunens Boss 
30002708;All Grey 
30002710;Red Son 
30002713;De Luca 
30002714;Miss Mariko 
30002715;Fox Eyed     
30002716;Fars Ferrari 
30002717;Tonabar Fifty     
30002718;Rock'n Roll 
30002720;Flyer 
30002721;Venture High     
30002722;Wimpy Eyed Fox     
30002724;Amagun     
30002725;Elfengluck 3168     
30002726;Elfenspuk     
30002727;Gabriel     
30002728;Tatiana     
30002729;Lennox     
30002730;Tatarin     
30002731;Antey xx     
30002732;Sigara xx     
30002733;Singapur xx     
30002734;Pritschal 7     
30002735;Wtulka 49     
30002736;Lam of Mull 
30002737;Plawka 53     
30002738;Tarino     
30002739;Sopka 31     
30002740;Serenata     
30002741;Leo's Star Gap     
30002742;Misty Star Gap     
30002743;Cee Bee Command     
30002744;Docs Orphy Annie     
30002745;My Two Eyed Baron     
30002746;Vickie Two     
30002747;Cee Bee Doc     
30002748;Bella Baron Two     
30002749;Fox Eyed King     
30002750;Cee Bee Jazabell     
30002751;Mr Norway     
30002752;CLARA     
30002753;JULIE STEFFENSEN     
30002755;Rock All 
30002756;Saved Elegance 
30002757;Usta 
30002758;Komtesse Sim 
30002759;Primadonna Bogø 
30002760;Korvet Klintholm 
30002761;Tolmina 
30002762;Hormina 
30002764;Ovni D'Epona 
30002765;Lavendel     
30002766;Resolue C.G. 
30002767;RAF Z     
30002768;Diane Du Carvallon 
30002769;Sally de Quettehou 
30002770;Souriante 
30002771;Araki 
30002772;Lady Kako 
30002773;Forcaholic Vinoir 
30002774;Minette Du Lilas 
30002775;Doc Tari     
30002776;Minnick's Goldie     
30002777;Colonel Freckles     
30002778;Fancy Lena     
30002779;Star's Toe Bar     
30002780;Leo Bar Page     
30002781;Mr Hepcat     
30002782;Poco's Dewdrop     
30002783;Taris Catalyst     
30002784;Fanny Freckles     
30002785;Page The Bartender     
