idnr;uthestenavn
30021178;Lise OL 6942     
30021179;Buller OLH 266     
30021180;Galbo OLH 235     
30021181;Britta Hersom DL 5126     
30021182;Musse Borup OL 5591     
30021183;Spenoria II     
30021184;Mercedes     
30021185;Jocus     
30021186;Mascotte     
30021187;Marjanka     
30021188;Waldhexe     
30021189;Loewe     
30021190;Waldhexe III     
30021191;Waldine     
30021192;Miracolo xx     
30021193;Creonette II     
30021194;Reni     
30021195;Amnestic     
30021196;Pippin     
30021197;Charlie Uhrzeiger     
30021198;Geo     
30021199;Tilo Yr     
30021200;Aslar Moulin     
30021201;Captain Whiskey     
30021202;Sam     
30021203;Lady Spana     
30021204;Rainbow Treasure     
30021205;Hanna     
30021206;Frodo     
30021207;Chicago Hope 95.698VB     
30021208;Lillebror     
30021209;Mulle     
30021210;Evelina     
30021211;Davita Lobell 
30021212;Silljana     
30021213;Albert     
30021214;Frasse     
30021215;Lukas     
30021216;Miranda     
30021217;Brown Moon     
30021218;Rex     
30021219;Jolly     
30021220;Jesper     
30021221;Romeo     
30021222;Ollie     
30021223;Laban     
30021224;Speedy     
30021225;Samson     
30021226;Carmen     
30021227;Cathy Sign 
30021228;Kent     
30021229;Fabio     
30021230;Frieda     
30021231;Fruehschein     
30021232;Fechta St.pr     
30021233;Udøpt     
30021234;R.B.K. Prinsessa     
30021235;Myr Spika     
30021236;Tine ster     
30021237;Pasha     
30021238;Aroline FOR5900043     
30021239;Fleur DH 1475     
30021240;Nicole DS 2970     
30021241;Samayta     
30021242;Classic Star     
30021243;Yankee Jet     
30021244;Lustra Viktor     
30021245;Nicolette RDH 2247     
30021246;Alm Travinda     
30021247;Alm Raisa     
30021248;Alm Marin     
30021249;Alm Lilja     
30021250;Storm Perla     
30021251;Nancy RDH 3704     
30021252;Varg Spik     
30021253;Nosey Parker     
30021254;Maya     
30021255;Stenkjers Nicoline DS13253     
30021256;Likeable 
30021257;Bjuti Mai     
30021258;Loveable Volo 
30021259;Tildeblesen     
30021260;Thai Katie     
30021261;Almenfackel     
30021262;Journalist     
30021263;Jaguar     
30021264;Altmass     
30021265;Thai Kosmos     
30021266;Highbury L.     
30021267;Trollanne     
30021268;Min Blesen     
30021269;Lamarks Zhirak     
30021270;Sweetn Bel 
30021271;Odre Coucou 
30021272;Kentucky Glide 
30021273;Duchess Brogård 
30021274;Mr. Brogård 
30021275;Kelle Haufor 
30021276;Diplomat II     
30021277;Pacifique Haufor 
30021278;Lloyd     
30021279;HANIBALD     
30021280;Brelvis 
30021281;Bassing 
30021282;Zethus Hegero 
30021283;Expressive Chip 
30021284;ORLANDO     
30021285;Striking Chip 
30021286;Lady Pentax 
30021287;Amber     
30021288;Frameable 
30021289;KEILIR FRA NORBØ     
30021290;BLUE LOYD     
30021291;ORIENTAL II     
30021292;Orkan 
30021293;Black Bandit     
30021294;Fawor 
30021295;Forgotten One     
30021296;Ragtime     
30021297;Stjerne Kvikken     
30021298;Dotterud Freddy     
30021299;Juve Sjefen     
30021300;Haugestad Gullet     
30021301;Creek's Whitefoot     
30021302;Eline Carpenter     
30021303;Eike Linn     
30021304;Jens Elias     
30021305;Cryptonite     
30021306;Røvaren     
30021307;Tyri Jenta     
30021308;Gann Cougar     
30021309;Storler Svarta     
30021310;Embrik Lavida     
30021311;Creek's Soiree     
30021312;Stumne Jippi     
30021313;T.S. Milagro     
30021314;Smedeld     
30021315;Lynne Sokka     
30021316;Apache Boy     
30021317;Nordgårds Ravn     
30021318;Inglingstad Good Luck     
30021319;Buster     
30021320;Calypso Ask     
30021321;Lookatme Augustinu     
30021322;Hokseng Rypa     
30021323;Knutli Blesen     
30021324;Sherlock Silk     
30021325;Berglield     
30021326;Erdinger     
30021327;Skar Maja     
30021328;Bjørli Terna     
30021329;Astro Mack     
30021330;Cita Baggi     
30021331;Dæmro Eldina     
30021332;Cadeaux     
30021333;Ve Blesa     
30021334;Jerkeld Rasken     
30021335;Trolli S.G.     
30021336;Raggar Vilja     
30021337;Pay Me     
30021338;Urtois x     
30021339;Aurelea B x     
30021340;Abeille     
30021341;Øster Engl. Fighter     
30021342;Casia De Fight     
30021343;NORIA     
30021344;CONTINUE     
30021345;Sagana     
30021346;Dixie Bell     
30021347;Statua 
30021348;Annemasse 
30021349;Banri an Oir 
30021350;Dünenjagd     
30021351;Lorelei     
30021352;Leallah 
30021353;Go Marching 
30021354;Golden Penny 
30021355;Tiddlywinks 
30021356;Merriment 
30021357;Lavandin 
30021358;Quita 
30021359;Wild Success II 
30021360;Plaza 
30021361;Kingscavil 
30021362;Princesse Reine 
30021363;Cappellina 
30021364;Colin 
30021365;Herd Girl 
30021366;Chione 
30021367;Queen of the Meadows 
30021368;Aditi 
30021369;Terra 
30021370;Nuvolari 
30021371;Omladina 
30021372;Oranien 
30021373;Calka     
30021374;Lanzer     
30021375;Aklexine     
30021376;Flintahnie Stp     
30021377;Selma I     
30021378;Midas     
30021379;Dazumal     
30021380;Domnica     
30021381;Dobronka     
30021382;Dekanter xx     
30021383;Dobryslaw     
30021384;Vista     
30021385;Vanda     
30021386;CASIA NØRGAARD     
30021387;GLAUMUR     
30021388;Verona     
30021389;Amigo     
30021390;PEPSI FRA LIERBAKKEN     
30021391;BARON     
30021392;Hannah Huxtable 
30021393;LIBERTY     
30021394;Royal Abjar 
30021395;Fonthill Road 
30021396;Fannær     
30021397;Susie     
30021398;Må Dokumenteres     
30021399;Mira     
30021400;Royal Line     
30021401;Aprizzo 
30021402;Professional 
30021403;Løvland Mari     
30021404;Dzakarta 
30021405;Loesje v.Oeze Stee     
30021406;Helga v.d. Beekenpi.     
30021407;Stan     
30021408;Dzesmin 
30021409;Danny Boy E.P.     
30021410;Proud Mary E.P.     
30021411;International Lover     
30021412;Bogenelda     
30021413;Karelius     
30021414;Høiby Lerka     
30021415;Høiby Nille     
30021416;Høiby Svein     
30021417;Høiby Prinsen     
30021418;Mr. Reyes     
30021419;Vallblesa     
30021420;Grans Tor     
30021421;Udøpt     
30021422;Titti Pilot     
30021423;Ulsrud Tim     
30021424;Ulsrud Tea     
30021425;Lady Goldstern     
30021426;Genuine Love     
30021427;Juvial     
30021428;Chios 
30021429;Castania 
30021430;Delleana 
30021431;Turkhan 
30021432;Rusk 
30021433;Turkish Blood 
30021434;Lady Elinor 
30021435;Le Pacha 
30021436;La Cadette 
30021437;Myrtlewood 
30021438;Whisk Broom II 
30021439;Beloved 
30021440;Hadegal 
30021441;Hadepine 
30021442;Model Cadet 
30021446;Under Pressure 
30021447;Pomade 
30021448;White Hare 
30021449;Foxontheline 
30021450;RUFUS     
30021451;Bitten Kærgård OL 4528     
30021452;Musse Smorupgård OL 4927     
30021453;Aida DS 439     
30021454;D.O.M. ROL 6512     
30021455;Quinta DS 4219     
30021456;Frej     
30021457;Elektra F2     
30021458;Ritta Bøgely S 4593     
30021459;Katja Bøgely OL 5160     
30021460;Flicka Bøgely OL 5981     
30021461;Pokicka DS 2112     
30021462;Jagdna DS 3790     
30021463;Jasmin 
30021464;Fittich     
30021465;Alwine     
30021466;Duella     
30021467;Debalia ster     
30021468;Tebalia model pref     
30021469;Charmette keur pref     
30021470;Vedette ster     
30021471;Mr. Langelo     
30021472;Herero xx     
30021473;Goneril xx     
30021474;Weltrona af Hvarre     
30021475;Chateau af Hvornum     
30021476;Brigitta DS 458 
30021477;Deres     
30021478;Tropenwald     
30021479;Trude     
30021480;Annika RDS 4757     
30021481;Tempo     
30021482;Her Grace 
30021483;Gracious Wick 
30021484;Mucho Pride 
30021485;Rheinwein     
30021486;Domingo 
30021487;Mabrook 
30021488;Navazza 
30021489;Stella Pomona 
30021490;Vorst     
30021491;Esa's Pride 
30021492;Klazina     
30021493;T's Di Mucho 
30021494;Undset     
30021495;Cobra Bac 
30021496;Astana     
30021497;Alocacoc 
30021498;Fernalp     
30021499;Blarney Castle 
30021500;Wedel     
30021501;Filatonga 
30021502;Tell Meno Lies 
30021503;Donatrice 
30021504;Bellesoeur 
30021505;Blue Eyed Momo 
30021506;Bayborough 
30021507;A Wind Is Rising 
30021508;It's In The Air 
30021509;Great Scot 
30021510;Garryhinch 
30021511;Garryard 
30021512;Speckle 
30021513;Fille d'Amour 
30021514;Fille de Poete 
30021515;Pommern 
30021516;Laughter 
30021517;Mirth 
30021518;Motavato 
30021519;Sobhiato 
30021520;Sør Andero     
30021521;Ash Blonde 
30021522;Dasher 
30021523;Foolhardy 
30021524;Jan Ekels 
30021525;Friar's Daughter 
30021526;Victory 
30021527;Kypris 
30021528;Lucky Stream 
30021529;Bridestones 
30021530;Santa Augusta 
30021531;Lacantun 
30021532;Sportschau 
30021533;Lana     
30021534;Marsala     
30021535;Schneeflocke     
30021536;Noire     
30021537;Lagretto     
30021538;Alana     
30021539;Eileen     
30021540;Sir Morgan     
30021541;Saros xx     
30021542;GENTLEMAN     
30021543;Brooke Cashflow 
30021544;Belletti Bob 
30021545;Lucky New 
30021546;Anne de Bretagne 
30021547;Agnes 
30021548;Alora 
30021549;Americaine 
30021550;Apachee 
30021551;Rhea 
30021552;Tune Time 
30021553;Guide 
30021554;Music Mistress 
30021555;Discreet 
30021556;Troll Tor     
30021557;Grand Glacier 
30021558;Anyway 
30021559;Picture Play 
30021560;Loan 
30021561;Diableretta 
30021562;Novitiate 
30021563;Easyrunner     
30021564;Takeover Lad     
30021565;Sascha Bjelke     
30021566;Feseth Jahni     
30021567;Frøken Franzen     
30021568;Snodig     
30021569;Above Gold     
30021570;Emilie Dreams     
30021571;Lure Donna     
30021572;Karmlandsblesen     
30021573;Tor Jarl     
30021574;Tabu B.R.     
30021575;Faxi Quick F.     
30021576;Ryens Runaway Rocket     
30021577;Spik Vilja     
30021578;Beauty's Tara     
30021579;Herr Feinschmecker     
30021580;Gårder Terna     
30021581;Haugestad Måne     
30021582;Callisto     
30021583;Lillemor FOR 23385     
30021584;Sonny Boy     
30021585;Følsig     
30021586;Jane Hedevanggård     
30021587;Jette Hedevanggård     
30021588;Hanna Hedevanggård     
30021589;Pacha Du Ponthieu 
30021590;Tagata 
30021591;Cold Cold Heart 
30021592;Vanilj Hornline 
30021593;ANDANTE     
30021594;Hanningfield Anne     
30021595;Acle Princess     
30021596;Acle Deep Magic     
30021597;Acle Merlyn     
30021598;Robjohns Polyphema     
30021599;Robjohns Holly     
30021600;Regis Polly     
30021601;Regis Jet     
30021602;Alderley Bomber     
30021603;Prince Baileys     
30021604;HS Darnell     
30021605;Suprice     
30021606;Turnpikes Miracle     
30021607;Laura Gal 
30021608;Challedon 
30021609;Bird Flower 
30021610;Flitabout 
30021611;Broadway 
30021612;Con Game 
30021613;Best Seller 
30021614;Scandale 
30021615;Relic Spirit 
30021616;Lady Aladdin 
30021617;Classic Music 
30021618;Irlandese 
30021619;My Daisy Love 
30021620;Lady Capulet 
30021621;Visor 
30021622;Raise You Ten 
30021623;Statuette 
30021624;Niobe 
30021626;Metronova 
30021627;Vashti 
30021628;Vase 
30021629;Clear and Cold 
30021630;Man in the Moon 
30021631;Ksarinor 
30021632;Sejane 
30021633;Que Sera 
30021634;Vital Error 
30021635;Royal Issue 
30021636;Lucienne 
30021637;Mistral 
30021638;Jeanne Seymour 
30021639;Delirium 
30021640;Aunt Florrie 
30021641;Jera Stjerna     
30021642;Rokne Ann     
30021643;Vesle Gudrun     
30021644;Finnskog Fokus     
30021645;Junior Friggen     
30021646;Teas Teodor     
30021647;Mari Mollyn     
30021648;Høiby Torina     
30021649;Høiby Lisa     
30021650;Rokne Tor     
30021651;FORKUR     
30021652;Saronni     
30021653;Nilus     
30021654;Recordo News     
30021655;Sometimes Good     
30021656;ARCHIE     
30021657;Yealand Vandal     
30021658;Lizetta af Engesg.     
30021659;Bolero     
30021660;Simona af Stenvad     
30021661;Norkrons Lotus     
30021662;Ann Bertha af Krist.     
30021663;Paja Brona     
30021664;Muddergrøf. Valdemar     
30021665;Dancan's Sun Spot     
30021666;Sandra af Langesminde     
30021667;Charmeur af Langesm.     
30021668;Michi     
30021669;Nicole af Langesminde     
30021670;Donna     
30021671;Musse af Halllundbæk     
30021672;Plet af Engvang     
30021673;Ulvegårdens Columbine     
30021674;Ulvegårdens Comet     
30021675;Lone Dalshöj     
30021676;Lurifax Stavsdal     
30021677;Ofelia     
30021678;Catch The Heat     
30021679;Skogfaks     
30021680;Goaly     
30021681;Shane Falco     
30021682;MIMIR     
30021683;Engas Tamina     
30021684;Ilia     
30021685;ML Sandra Bullock     
30021686;Engas Marbella     
30021687;Alcherie     
30021688;Engas Cesar     
30021689;ROYAL HEIR     
30021690;Stumne Fresken     
30021691;Hijacked Queen     
30021692;Moe Kringsjå     
30021694;RATJE     
30021695;Minnesota Viking 
30021696;The Black Douglas 
30021697;Bente Victoria 
30021698;Ylva Teb 
30021699;Lianne Teb 
30021700;Wendela Teb 
30021701;Norbo Vinter     
30021702;Fast Row 
30021703;Chevignon     
30021704;Storms River 
30021705;KNERTEN     
30021706;Greylie 
30021707;Peace Queen 
30021708;MISTRAL     
30021709;Benjamin     
30021710;Capolino 
30021711;HRAFN     
30021712;Black Rubin 
30021713;Enough is Enough 
30021714;Jaded 
30021715;Dahirs Fire S.G. 
30021716;Golden Maxine 
30021717;Always My Starlite 
30021718;Ourasine 
30021719;Jocose 
30021720;SOLFARI     
30021721;Keep On Flying 
30021722;Montana     
30021723;Goldika     
30021724;Barbican 
30021725;Electra Skift 
30021726;Weissgerber     
30021727;CHARMEUR     
30021728;Weichsel     
30021729;La Paris     
30021730;Goldlöwe     
30021731;Goldmaedel     
30021732;Graf Grannus     
30021733;Capries     
30021734;Idris Pershing 
30021735;Graf Top     
30021736;She is a Lady     
30021737;AKILLES     
30021738;Redneck Lavec 
30021739;ANDY II     
30021740;Amselgirl     
30021741;Almhuegel III     
30021742;Assya     
30021743;Wiesenpracht     
30021744;Verzace Attitude     
30021745;Ferngirl     
30021746;Eugenia     
30021747;Angel Plumsted 
30021748;Pleasant Walking 
30021750;Cold Toes 
30021751;Plantagenet 
30021752;LEE CARLA     
30021753;Chippy Morsø 
30021754;Sylvia     
30021755;No Moremiss 
30021756;Miss Volo 
30021757;Vego     
30021758;Lillegutt     
30021759;Cabalero     
30021760;Salinas 
30021761;Østen     
30021762;Classicalrunning     
30021763;Amber Line     
30021764;Vang Sokken     
30021765;Sarv     
30021766;Wonky Donkey 
30021767;Komnes Snuppa     
30021768;Grace O'Mally     
30021769;Hot Sunqueen     
30021770;Sign Of Success     
30021771;Jet Racer G.T.     
30021772;Charlie The Sheriff     
30021773;Dynamite Kosmos 
30021774;Mr Lebo 
30021775;Jersey Lillie 
30021776;Island Myth 
30021777;Sue Fly 
30021778;Fortune Access 
30021779;Chasley Superman     
30021780;Foxy's Easter Dawn     
30021781;Windcrest Donald     
30021782;Hylee's Lady Lynn     
30021783;Orcland John Darling     
30021784;Bonita Graham     
30021785;Topside Eager Beaver     
30021786;May Day Correll     
30021787;Hanover Super Dan 2 
30021788;Trophy Stand 
30021789;Horseshoe's Lyncrest 01 
30021790;Greentree Bonnie John     
30021791;Niobrara Mayfair     
30021792;Isaksbo Justin 11     
30021793;Greentree Night'n Day 16     
30021794;Tronshagens Union     
30021795;Camp David 
30021796;Tiger Hedegaard     
30021797;Alberto 
30021798;Larissa 
30021799;Vælg Cowboyland 
30021800;Løb Cowboyland 
30021801;Valle Lilo     
30021802;Risette d'Almere 
30021803;Spikeli 
30021804;Ifrida d'Almere 
30021805;Volemit d'Almere 
30021806;Yankee Tomboy 
30021807;Tucson Yankee 
30021808;Wingait Ås 
30021809;Improve Ås 
30021810;Stangaro 
30021811;Riet Hollandia 
30021812;Ymond Boekelte 
30021813;Lady Terraise 
30021814;Zamora Neijenrode 
30021815;Hedy Boekelte 
30021816;Une De Grand 
30021817;Rollon 
30021818;SHABINA     
30021819;Breidablik 
30021820;Anastasia 
30021821;Mai Vilde     
30021822;Troubador G.T.     
30021823;Surprise One     
30021824;Atom Vinni     
30021825;Atom Ninni     
30021826;Lykke Svinta     
30021827;Solbakken Embla     
30021828;Findal Elvira     
30021829;Tita Nibs     
30021830;Go'lita     
30021831;Rabb Arger     
30021832;E.M. Hercules     
30021833;Øyfrisk     
30021834;Aaby Elda     
30021835;Lucky Hillman     
30021836;Vinter     
30021837;Mahonia     
30021838;Romanza     
30021839;May Delailah     
30021840;High Cartier     
30021841;Sølv Snuppa     
30021842;Solberg Rasken     
30021843;General Ideal     
30021844;Camillas Girl     
30021845;Chop Man     
30021846;Perlå     
30021847;Eirik Gutten     
30021848;Maddie Layne     
30021849;Nøste Vilja     
30021850;Triple Crown     
30021851;Gli Jerven     
30021852;Reel Glad     
30021853;Thai Lightning     
30021854;Thai Tanisha     
30021855;Thai Photo     
30021856;Thai Madonna     
30021857;Nana Viktoria     
30021858;Red's Chipchip     
30021859;Hvalstad Jerven     
30021860;Totti     
30021861;Penny Grace Lane     
30021862;Eldorado Sund     
30021863;Playful Win     
30021864;Copper Canyon     
30021865;Balderina     
30021866;Skøyer Mira     
30021867;Sweet Chapelle     
30021868;Blue Eagle     
30021869;Iknockoutyou     
30021870;Mos Spika     
30021871;Espe Jerva     
30021872;Espe Haaken     
30021873;Sarda     
30021874;Sky Lulo G.G.     
30021875;Stee Raua     
30021876;Myhreng Rigel     
30021877;Vigleik     
30021878;El Pasa     
30021879;Pelops 
30021880;Urfist des Pres 
30021881;Flo de la Piliere 
30021882;L'Ocean D'Urfist 
30021883;Ringo Pia     
30021884;Ringo Millie     
30021885;Gryta Lyngs Eros     
30021886;Ikdahls Veslefrikk     
30021887;Sylvester Effekt     
30021888;Nemo     
30021889;Kumba     
30021890;Flash de Jiel 
30021891;Etonnante Fany 
30021892;Lupin De L'Odon 
30021893;Princesse Barbes 
30021894;Kent Barbes 
30021895;So Kind     
30021896;Grip Kronos 
30021897;Rofstad Vilja     
30021898;Energance 
30021899;Milord De Melleray 
30021900;Pernilla Vic 
30021901;Lady Luxemburg 
30021902;Magic Star D.K. 
30021903;Grace de Tembia 
30021904;Popinee De Timbia 
30021905;Elverpigen Tårs 
30021906;Rion Tårs 
30021907;Matine Spring 
30021908;Max Juliano     
30021909;Lynjor     
30021910;Mystifistisk     
30021911;Fjord Oda     
30021912;Valseth Gutten     
30021913;Kap Tulla     
30021914;Devilius B.     
30021915;Trigger Blesen     
30021916;Ravn Dina     
30021917;Tekno Jerken     
30021918;Stjerne Janka     
30021919;Free Rolls     
30021920;Tekno Leika     
30021921;Kvitheims Karin     
30021922;Lucky Ugly Joe     
30021923;Immortal Impact     
30021924;Våler Odin     
30021925;Ness Tjo Balder     
30021926;Fjord Vikki     
30021927;Torderud Ella     
30021928;Fighting Superb     
30021929;Just Superb     
30021930;Whitesand Image     
30021931;Sjeikens Gull     
30021932;Saga Briljant 
30021933;Athena 
30021934;LOKE     
30021935;FEANARO     
30021936;VIRGIN     
30021937;PIRAT     
30021938;Goodgollymissmolly 
30021939;Mystic Rose 
30021940;Nadja Sund 
30021941;Spirit of Lime 
30021942;Misty 
30021943;Martini     
30021944;Bones Rozard     
30021945;Lancaster     
30021946;Acord     
30021947;Sandra     
30021948;Esther ster     
30021949;Kester     
30021950;FREEDOM FLIGHT     
30021951;C.R.L. Ka Ching     
30021952;American Speed     
30021953;Commissioner's Bay     
30021954;C.C. Commandos Pride     
30021955;Brenne Balder     
30021956;Brenne Vinni     
30021957;Alabama     
30021958;Juliano Diamond     
30021959;Stjerne Troj     
30021960;Fjellravn     
30021961;Kleppe Dotten     
30021962;Sugar Maker     
30021963;STJARNA     
30021964;Engas Celine     
30021965;Red Line     
30021966;Palett     
30021967;Prinsen     
30021968;Zimba     
30021969;Samson     
30021970;Aron     
30021971;Santan     
30021972;Bakkens Texas     
30021973;Angeni Snowfire     
30021974;Tinka     
30021975;John's Fiery Lady     
30021976;Ride The Lightning     
30021977;Armani     
30021978;Foggy     
30021979;Octhavia     
30021980;Felix     
30021981;May Surprise     
30021982;Belle Coco Chanel     
30021983;K.L.M. Prego     
30021984;K.L.M. All In     
30021985;Balder Vilja     
30021986;Mimic Story     
30021987;Huldre Malvin     
30021988;Cigar Fighter     
30021989;Idita E.T.     
30021990;Kolnes Daffy     
30021991;Kolnes Rappa     
30021992;Faksjerva     
30021993;Henry L.     
30021994;Sierra Madre     
30021995;Golden Carvalho     
30021996;Keep Going Wilma     
30021997;Titan's Boy     
30021998;Eikstjerna     
30021999;Schu Lyna     
30022000;Triple T. Trouble     
30022001;Lome Brage     
30022002;Lome Hero     
30022003;Rigel Mio     
30022004;CAPISCO     
30022005;Blossom Berry     
30022006;Kaliman     
30022007;Freckles Metermaid     
30022008;Edmond Star     
30022009;Skip Star Judy     
30022010;Hollywood Dun It     
30022011;Kidnap's Candy Bar     
30022012;Melonkali Sweetie     
30022013;Lenas Gyrator     
30022014;Eds Judy     
30022015;Dun It With Charm     
30022016;Docs Judy Lena     
30022017;RML Hollywood Olena     
30022018;Hollywood Gyrator     
30022019;Skywalker Eclipse     
30022020;Miss Super Kiss     
30022021;PAMINA SØLYST     
30022022;Farina     
30022023;Apache     
30022024;Solheim's Flamingo     
30022025;Europas Nickita     
30022026;Vivatec S.T     
30022027;Allan     
30022028;Heartbreaker     
30022029;Silva     
30022030;Strandheim's Neidi     
30022031;Jerry     
30022032;Tom     
30022033;Pinto     
30022034;Fant     
30022035;Kimberly     
30022036;Sebastian     
30022037;Malte Rozz     
30022038;Felicia     
30022039;Silver     
30022040;Storms Diablo     
30022041;Luckæng     
30022042;Sibyl Hill 
30022043;Sable Hill 
30022044;Single Hill 
30022045;Bo 
30022046;Booray 
30022047;Goya Cabrera     
30022048;Tanastjerna     
30022049;Love Force     
30022050;Finedin Fidan     
30022051;Lisbeth     
30022052;S-Loki     
30022053;Dorina     
30022054;Indy     
30022055;My Moody Blue     
30022056;Walk on Air 
30022057;Persian Walk 
30022058;Prins Hardy     
30022059;Solør Stegg     
30022060;Vårberg Alvin     
30022061;Kor Vita     
30022062;Gromgut'n     
30022063;Låhne Lukas     
30022064;Juni Knekten     
30022065;Beststjerna     
30022066;Ina Star     
30022067;Lustra Eldar     
30022068;F.H. Spikrosa     
30022069;Trygfaks     
30022070;Rosa Mi     
30022071;The First Lady K.     
30022072;Gjølmes Super     
30022073;Deep Bendix     
30022074;G.R.B. Victoria     
30022075;Yr Pila     
30022076;Prince of Thebes 
30022077;D.J.'s Victory     
30022078;With Style     
30022079;Eliza Acton 
30022080;Stotsfold 
30022081;Dals Arol     
30022082;Beacon Hill 
30022083;Brand 
30022084;Arcus 
30022085;Banknote 
30022086;Calvados 
30022087;Celtic 
30022088;Ice Ballet 
30022089;Cascina 
30022090;Lagoa Do Pau 
30022091;Champery 
30022092;Songmate 
30022093;Vivaldi 
30022094;Cayenne 
30022095;Lamanka Lass 
30022096;Dark Islander 
30022097;Greinton 
30022098;Forever Nice 
30022100;Dashing Blade 
30022101;Forthe Millionkiss 
30022102;Opening Verse 
30022103;Broken Hearted 
30022104;La Busona 
30022105;Igor Protti 
30022106;Rafif 
30022107;Pressing 
30022108;ROSSINI     
30022109;Sunny Carol 
30022110;Willow Hour 
30022111;Miss Willow Bend 
30022112;Hardy Norseman 
30022113;Pernomente 
30022114;Pea Green 
30022115;Miss Queen 
30022116;Prince of Light 
30022117;Kris S 
30022118;Cephalonie 
30022119;Skyharbor 
30022120;Tell 
30022121;Cashmaker     
30022122;Against The Moon     
30022123;Meadow Rox     
30022124;Tibur Vision     
30022125;STARLIGHT     
30022126;LADY BEAUTY     
30022127;Alexandrine 
30022128;Alambic 
30022129;Charming Lassie 
30022130;GINNI     
30022131;Believability 
30022132;Lemonette 
30022133;Bintalshaati 
30022134;Will Be 
30022135;CZEKAJ     
30022136;Midnight's Maximo     
30022137;Solbakkens Commander     
30022138;Olantuz     
30022139;St Tropez     
30022140;RR For Spirit JC     
30022141;RR For You Miss Pleasure     
30022142;PACHAS STAR     
30022143;Kaliningrad 
30022144;City On A Hill 
30022145;Grove Cherry 
30022146;Shaabra 
30022147;Envollee 
30022148;Birthday Belle 
30022149;Miss Imperious 
30022150;KING SLIPPERS     
30022151;MISKA     
30022152;Forty Niner 
30022153;Jules 
30022154;Lotte     
30022155;Tokatee 
30022156;Greystoke 
30022157;Quilboquet 
30022158;Mads     
30022159;Chef De Clan 
30022160;Un Numide 
30022161;Fortune Jolie 
30022162;Neptune Joly 
30022163;JACKIE     
30022164;Granvins Erla     
30022165;Pandora 
30022166;HØIDALS EPSILON     
30022167;Gazelle des Cimes 
30022168;Le Merlerault 
30022169;Roche II 
30022170;Casino     
30022171;Ketty Vi 
30022172;Samba L. 
30022173;Gambaronne 
30022174;LIZLLES'S PRIDE     
30022175;LIZLLE'S PRIDE     
30022176;Tinka 4     
30022177;Carlow Ratht. Ryan     
30022178;Jemma     
30022179;Dobby Flash 
30022180;Tingeling     
30022181;Patrick Mackie of Ir.     
30022182;Heit     
30022183;Kolbergs Lillefot     
30022184;Olaf     
30022185;Appell's Tornado     
30022186;Ray Carlos     
30022187;Skøi Mona     
30022188;Monarch Of Forests     
30022189;Wendy Pride     
30022190;Karlina K.     
30022191;Lygredon     
30022192;Grandiezel     
30022193;Don Julio     
30022194;Nesvik Mist     
30022195;Nesvik Håp     
30022196;Nesvik Sik     
30022197;Tiny     
30022198;Gertz Tibur O.S.     
30022199;Jo Stjernas Lilja     
30022200;Chrismar Ramses     
30022201;Bobby Boy     
30022202;August     
30022203;Adelina     
30022204;Bruse     
30022205;Clark     
30022206;Brokers Hadivas     
30022207;Francine     
30022208;JASMIJN     
30022209;Jagdhorn     
30022210;Ingwer     
30022211;Loewenjaeger     
30022212;Echta     
30022213;Legende     
30022214;Lady Legende     
30022215;Ligorett     
30022216;Nobida     
30022217;Finessa     
30022218;Karlinka St.pr     
30022219;Marion     
30022220;Rasputin     
30022221;Marina     
30022222;Ramina     
30022223;Karlinka     
30022224;Alessi     
30022225;Estella     
30022226;Jersey 13622     
30022227;Ranka     
30022228;Cantero     
30022229;O.Cantarel     
30022230;Wananta kroon pref F335     
30022231;Normann keur     
30022232;Goudsmid keur     
30022233;Tolad     
30022234;Reynols     
30022235;Itone     
30022236;Olady II     
30022237;Liane     
30022238;Meli     
30022239;Arena     
30022240;Fananta     
30022241;Kazoura     
30022242;Sekundantin     
30022243;Wolganetz     
30022244;Rikscha St.pr     
30022245;Rigoletto     
30022246;Rebecca     
30022247;Dottore     
30022248;Finale     
30022249;Petit St.pr     
30022250;Anke     
30022251;Baroness     
30022252;Winner     
30022253;Winnibell     
30022254;Dunking Edition prGull     
30022255;Amigo     
30022256;Anke     
30022257;Domaenenfee St.pr     
30022258;Delos     
30022259;Dina     
30022260;Felsenschluch     
30022261;Amselrebe     
30022262;Achat     
30022263;Astrid     
30022264;Wintergerste     
30022265;Ehrenschild     
30022266;Estelle     
30022267;Sirikit St.pr     
30022268;Rasputin     
30022269;Raspe     
30022270;Rosenduft     
30022271;Stako     
30022272;L.A. Rapsidy     
30022273;Pertinent Rose 
30022274;Petite Bijoux 
30022275;Prinzess Diamond 
30022276;Cormac Van'T Sterrebos     
30022277;Ria     
30022278;Kalimba     
30022279;Freia     
30022280;Queen Of Sheeba     
30022281;Terz     
30022282;Karolus van Wittenstein pref     
30022283;Buster     
30022284;Kwistra     
30022285;Inrist     
30022286;Sioux Milwaukee     
30022287;Frista     
30022288;Groline DS     
30022289;Manja     
30022290;Dormonto     
30022291;Marguerite     
30022292;Lucas     
30022293;Tai Cut N x Lolli     
30022294;Lurifax     
30022295;Laura     
30022296;Pike     
30022297;Roffen     
30022298;Austria     
30022299;Jambe     
30022300;Meadow Bloc 
30022301;Gullan     
30022302;Canigia 
30022303;Coria 
30022304;Musse Holmgård FOR     
30022305;Ciceros Delight     
30022306;Alegro     
30022307;Quinton     
30022308;Chacez     
