28;6;44;30066956
38;0;0;30097578
50;0;0;30099615
0;0;0;30099106
10;0;29;30097676
0;50;62;30099796
36;12;25;30098257
100;0;0;30103276
0;0;0;30103656
0;0;0;30103898
0;0;0;30103444
100;0;0;30103801
0;0;0;30103917
0;0;0;30099003
0;0;0;30100615
0;0;0;30094775
50;0;0;30097738
0;0;0;30097361
0;0;0;30098273
50;0;8;30105461
33;14;19;30107865
6;6;56;30104350
10;3;27;30100724
0;10;48;30100742
20;10;30;30097827
25;18;44;30097065
10;9;21;30088973
15;11;36;30085844
13;14;47;30060152
8;11;27;30087218
9;12;38;30096713
60;0;20;30095408
15;41;70;30100728
12;9;25;30099745
20;3;13;30078601
46;29;39;30021073
60;0;25;30097565
0;0;0;30097129
0;0;0;30097526
56;12;31;30077790
40;0;14;30084311
61;24;29;30092669
14;35;62;30038473
13;14;47;30060152
11;11;33;30095573
15;29;48;30092564
27;0;0;30108836
25;67;67;30099650
24;0;15;30096797
17;8;27;30090133
15;41;70;30100728
