Lop;Distanse;Startnr;Kusk;StartMetode;Inntjent;Heste_navn;TidVolte;TidAuto;Bane;Dato;Navn;Id_nr;Reg_Nr;Antstarter;vinnerprosent;Trippelprosent;Galoppprosent;PlasseringSisteStart;sistestart;Trippelform;vinnerform;galoppRisiko;Dagendato;Datosistestart;Antdagersistestart;Formplassering;FormHest;Formfaktordager;FormfaktorTotal;Poemngstartnr
3;2140;15;Eivind Gravdal;Volestart;536.000;Elegant;1.25,7v;1.23,4a;  Klosterskogen Travbane ;2018-09-01;Elegant;30020734;N-07-0307;89;19.00;43.00;31.00;0;2018-08-15;382.7000000000000;169.1000000000000;275.9000000000000;2018-09-01 14:47:21.510;2018-08-15;17;0;275.9000000000000;100;375.9000000000000;0
3;2100;1;Cecilia Karlsson;Autostart;72.207;Tarragon Tabac;1.31,8v;;Bjerke Travbane ;2018-09-03;Donato Tabac* (S);30066316;S-07-2738;2;0.00;50.00;50.00;Disk. galopp;2011-03-02;10.0000000000000;0.0000000000000;10.0000000000000;2018-09-03 11:36:10.073;2011-03-02;2742;0;0.0000000000000;0;10.0000000000000;10
3;2100;2;Vidar Hop;Autostart;76.000;Lille Ild;1.31,7v;1.29,4a;  Bjerke Travbane ;2018-09-03;Lille Ild;30051189;578001020090066;11;40.00;80.00;18.00;2;2018-08-24;88.0000000000000;44.0000000000000;19.8000000000000;2018-09-03 11:36:10.073;2018-08-24;10;10;112.2000000000000;100;232.2000000000000;10
3;2100;3;Magnus Teien Gundersen;Autostart;78.500;Myrull;1.30,6v;1.30,7a;  Bjerke Travbane ;2018-09-03;Myrull;30066260;578001020100184;28;8.00;42.00;57.00;0;2018-06-15;117.6000000000000;22.4000000000000;159.6000000000000;2018-09-03 11:36:10.073;2018-06-15;80;0;-19.6000000000000;0;-9.6000000000000;10
3;2100;4;Per Oleg Midtfjeld;Autostart;81.364;Kringlers Frida;1.30,1v;1.30,7a;  Bjerke Travbane ;2018-09-03;Kringlers Frida;30083701;578001020120486;31;7.00;19.00;45.00;0;2018-08-19;58.9000000000000;21.7000000000000;139.5000000000000;2018-09-03 11:36:10.073;2018-08-19;15;0;-58.9000000000000;100;41.1000000000000;0
3;2100;5;Dag-Sveinung Dalen;Autostart;88.000;Dag Eldmi;1.30,6v;1.28,4a;  Bjerke Travbane ;2018-09-03;Dag Eldmi;30083313;578001020120406;38;6.00;24.00;84.00;Disk. galopp;2018-08-25;91.2000000000000;22.8000000000000;319.2000000000000;2018-09-03 11:36:10.073;2018-08-25;9;0;-205.2000000000000;100;-105.2000000000000;0
3;2100;7;Frode Mjølnerød;Autostart;96.500;Lørdagsgodt;1.30,1v;1.30,0a;  Bjerke Travbane ;2018-09-03;Lørdagsgodt;30078193;578001020110479;49;0.00;15.00;61.00;2;2018-08-12;73.5000000000000;0.0000000000000;298.9000000000000;2018-09-03 11:36:10.073;2018-08-12;22;10;-225.4000000000000;0;-215.4000000000000;0
3;2100;8;Gunnar Austevoll;Autostart;103.000;Kringlers Balder;1.31,8v;1.27,6a;  Bjerke Travbane ;2018-09-03;Kringlers Balder;30093635;578001020140327;17;14.00;64.00;35.00;2;2018-08-15;108.8000000000000;23.8000000000000;59.5000000000000;2018-09-03 11:36:10.073;2018-08-15;19;10;73.1000000000000;100;183.1000000000000;0
3;2100;9;Kai Johansen;Autostart;93.000;Granly Kuling;1.30,0v;1.28,6a;  Bjerke Travbane ;2018-09-03;Granly Kuling;30083778;578001020120491;26;17.00;26.00;12.00;1;2018-08-13;67.6000000000000;44.2000000000000;31.2000000000000;2018-09-03 11:36:10.073;2018-08-13;21;10;80.6000000000000;0;90.6000000000000;0
3;2100;10;Jørn Morten Kvikstad;Autostart;93.500;Silviana;1.30,2v;1.27,4a;  Bjerke Travbane ;2018-09-03;Silviana;30078537;578001020110548;20;6.00;47.00;10.00;6;2017-09-15;94.0000000000000;12.0000000000000;20.0000000000000;2018-09-03 11:36:10.073;2017-09-15;353;0;86.0000000000000;0;86.0000000000000;0
