27;0;0;30077824
78;0;0;30088159
43;40;40;30097474
72;0;0;30084040
57;0;17;30093710
69;0;0;30082472
33;40;40;30092706
43;0;25;30092231
60;0;29;30090520
25;0;0;30098976
14;2;16;30033897
28;4;20;30051992
21;9;36;30082511
30;28;48;30085374
19;8;17;30038707
21;1;19;30018943
51;5;20;30021955
14;28;72;30089145
38;26;48;30093513
16;18;59;30088408
20;23;68;30088349
28;6;33;30079296
28;11;19;30072062
14;4;11;30082506
55;10;39;30084266
55;8;25;30084302
14;16;48;30083072
12;14;57;30095636
0;50;100;30097473
0;67;100;30088674
26;13;40;30078571
18;0;9;30085197
67;0;17;30092692
