Heste_navn;Rett_navn;rettidnr;Feilidnr
Florens V.J.;Florens V.J.;30121882;30078718
Flying Garbo;Flying Garbo;30119711;30043422
Flytlan;Flytlan;30103818;30076990
Flytman;Flytman;30103817;30076990
Fossens Tosse;Fossens Tosse;30118895;30077518
Four on the Floor;Four on the Floor;30104429;30012930
Frances Lifestar;Frances Lifestar;30105176;30054372
Freaky Friday;Freaky Friday;30059921;30105104
From Dust to Dawn;From Dust to Dawn;30120946;133160
From Zero To Hero;From Zero To Hero;30088339;30077018
Frosta;Frosta;30106672;30022960
Frozen Sun;Frozen Sun;30097905;30090161
Fruska Am;Fruska Am;30120240;30053251
Frøken Vilja;Frøken Vilja;30104380;123789
Frøyu Fanten;Frøyu Fanten;30102208;30097269
Furderud Faksa;Furderud Faksa;30104830;30068466
Fux Pride;Fux Pride;30038039;30104874
Fylking;Fylking;30121906;133415
G.G. Anna;G.G. Anna;30105037;30017236
Gabriel Barsk;Gabriel Barsk;30104630;30099046
Gaia Barsk;Gaia Barsk;30104664;30099038
Galaxy W.;Galaxy W. ;30121647;30066286
Gann Linn;Gann Linn;30104318;133161
Gemina;Gemina;30099926;30009981
Gentle Design;Gentle Design;30083184;119920
Gertorps Viljaleva;Gertorps Viljaleva;30121932;30007858
Ghazi B.R.;Ghazi B.R.;30093395;30022832
Ghost Rider M.E.;Ghost Rider M.E.;30103443;129724
Gina W.;Gina W.;30104342;123073
Glazier's Victoria;Glazier's Victoria;30101074;30099432
Global Almighty;Global Almighty ;30116973;30114939
Global Rebel;Global Rebel;30120303;127749
Global Tycoon;Global Tycoon ;30118841;30103248
Gloria B.R.;Gloria B.R.;30093396;30100745
Go Brage;Go Brage;30104613;125336
Go Without I.D.;Go Without I.D.;30103359;30075999
Goetmals Joe;Goetmals Joe;30121291;30077887
Golden Daiquiri;Golden Daiquiri;30103782;30080690
Golden Mile;Golden Mile ;30119127;30089535
Golden Vici;Golden Vici;30103595;30103952
Goldstile;Goldstile;30092539;30037020
Gone Dancing;Gone Dancing;30104418;30098894
Good Smile;Good Smile;30089535;30051062
Gracious Class K.W.;Gracious Class K.W.;30103783;30093936
Grand Commander;Grand Commander;30104473;30054443
Grand Yankee;Grand Yankee;30103741;30069762
Granli Blesen;Granli Blesen;30104176;106384
Greed;Greed;30096831;129374
Grisle Odin G.L.;Grisle Odin G.L.;30105067;30095269
Grisleprinsen G.L.;Grisleprinsen G.L.;30105068;30095269
Grislesvarten G.L.;Grislesvarten G.L.;30109134;30095269
Grude Bambi;Grude Bambi;30107284;30053066
Grude Dorotea;Grude Dorotea;30107282;30095728
Grude Elling;Grude Elling;30109769;30095726
Grude Sussi;Grude Sussi;30107283;30054656
Grude Tilla;Grude Tilla;30098782;30068843
Gråberg Blessen;Gråberg Blessen;30104557;30074187
Gulheim Brage;Gulheim Brage;30105133;30023721
Guli Roy;Guli Roy;30113926;30094635
H.B. Nikita;H.B. Nikita;30104939;129542
Hafell Mari;Hafell Mari;30106593;30086137
Hage Jerka;Hage Jerka;30104572;30077889
Harbour Eightysix;Harbour Eightysix ;30121187;30022421
Hard One;Hard One;30104976;30094083
Hardhaus;Hardhaus;30103765;30022058
Harpos Rockland;Harpos Rockland;30121491;30033177
Hassel Frøkna;Hassel Frøkna;30109147;30008879
Hauan Balder;Hauan Balder;30093204;30052519
Haugs Dronninga;Haugs Dronninga;30104313;30033298
Havik di Quattro;Havik di Quattro ;30104749;30100216
Hazil Boko;Hazil Boko ;30105460;30103269
Helen Boko;Helen Boko ;30118604;30068612
Helena Klipp;Helena Klipp;30121269;30119216
Hellestvedt Trym;Hellestvedt Trym;30084302;30010966
Helmin Eldi;Helmin Eldi;30093382;123110
Helmin Støva;Helmin Støva;30098108;123110
Heni B.R.;Heni B.R.;30098171;30022827
Hercules Boko;Hercules Boko;30120233;30054585
High Hopes;High Hopes;30103618;30004900
High Into the Sky;High Into the Sky;30121409;30089897
Highsurprise Laday;Highsurprise Laday;30119213;30023331
Hillarys Revenge;Hillarys Revenge;30093189;30089471
Hilton B.R.;Hilton B.R.;30098172;30020164
Hilton Borken;Hilton Borken;30077841;123090
Hilton Gullet;Hilton Gullet;30088244;30021300
Hilton Skott;Hilton Skott;30093645;119039
Hilton Stjernen;Hilton Stjernen;30093646;119039
Hjelle Rapide;Hjelle Rapide;30089358;30039942
Hjertlig;Hjertlig;30109184;133115
Hof Lodin;Hof Lodin;30084311;30071992
Hof Loyd;Hof Loyd;30103619;30063317
Hold Me Quick;Hold Me Quick ;30119208;131229
Holen Jerven;Holen Jerven;30103420;30052149
Holterjerven;Holterjerven;30038519;30076639
Holy Knight;Holy Knight;30104974;30089494
Honannas Trolljeger;Honannas Trolljeger;30107326;30097327
Hoppestuss Pila R.S.;Hoppestuss Pila R.S.;30104362;30019910
Horg Faxen;Horg Faxen;30104828;116913
Hot Point;Hot Point;30121481;30052297
Hot Rod;Hot Rod;30098816;126501
Hovde Elden;Hovde Elden;30084712;117743
Hugo Bäck;Hugo Bäck;30100407;30054999
Humble Hill;Humble Hill;30117784;30052360
Husan Teddy;Husan Teddy;30093823;30098122
Huseby Minni;Huseby Minni;30104621;30098919
Huseby Sirius;Huseby Sirius;30098919;130051
Hyllstoftas Ella;Hyllstoftas Ella;30120011;30056396
Høibygjerven;Høibygjerven;30093876;30088085
Høvding Viktor;Høvding Viktor;30067034;30083532
Høwings Unbeatable;Høwings Unbeatable ;30107767;30054441
Høy Tara;Høy Tara;30107021;30010967
I.D. Undeniable;I.D. Undeniable;30102653;30093140
Ibra Boko;Ibra Boko ;30119787;30054717
Icarus B.R.;Icarus B.R.;30104181;30020722
Idaho Sund;Idaho Sund;30119214;30021862
Iggy B.R.;Iggy B.R.;30104648;30104183
I'm Kodiak;I'm Kodiak ;30105111;30023716
Ina Ki;Ina Ki;30098581;30030160
Indian Fanatic;Indian Fanatic ;30120590;30023129
Indiana Fortuna;Indiana Fortuna ;30120068;30100317
Inola B.R.;Inola B.R.;30104960;30104642
Isabel B.R.;Isabel B.R.;30104184;30104180
Isabelle Boko;Isabelle Boko;30120239;30059761
Isbjörn;Isbjörn;30113956;30083710
Ivan B.R.;Ivan B.R.;30104185;30078964
Ivana B.R.;Ivana B.R.;30104646;30076258
J.T.'s Kiwi;J.T.'s Kiwi;30104484;30009322
Jackson Avery;Jackson Avery;30097127;30078573
Jan Livar;Jan Livar;30082072;30022896
Jas Ribb;Jas Ribb;30121126;30079062
Jatzy Jazz;Jatzy Jazz;30120295;30092994
Jervjenta;Jervjenta;30092466;126290
Jetske Beemd;Jetske Beemd;30121117;30078609
Joel Klipp;Joel Klipp;30119216;30035096
Joke Ribb;Joke Ribb;30120927;30085272
Joker C.E.;Joker C.E.;30121472;30078104
Jormine;Jormine;30102286;30077147
Juni Goggen;Juni Goggen;30118454;30077826
Juni Prinsen;Juni Prinsen;30104209;30039443
Just Power;Just Power;30103481;30021929
Järvsö Jansing;Järvsö Jansing;30087779;30078589
K.B.'s Rubina;K.B.'s Rubina;30080009;30052909
K.E.Marinen;K.E.Marinen;30120257;30035559
Kali Nzuri;Kali Nzuri;30103770;30018196
Kamperhaugs Dina;Kamperhaugs Dina;30094867;30085919
Kaptein;Kaptein;30083376;30090552
Karmøy Prinsen;Karmøy Prinsen;30103268;129584
Ken Tooma;Ken Tooma;30120326;30078512
Kenya Dewitt;Kenya Dewitt;30106871;30051983
Keystone Cash;Keystone Cash ;30120868;30003951
Kicki Tooma;Kicki Tooma;30119749;30084548
Kilestjerna;Kilestjerna;30093250;124707
Kimberly's Star;Kimberly's Star;30105569;30081535
King Bricois;King Bricois;30105596;30067893
King Senator;King Senator;30082511;129698
King Tanic;King Tanic;30103331;30088352
Kiss Me Kate T.J.;Kiss Me Kate T.J.;30108123;30072478
Kjappen;Kjappen;30104880;30083138
Kjennesgodtut;Kjennesgodtut;30098412;30020791
Kjærumguten;Kjærumguten;30104625;30097338
Kjølstad Trollvilja;Kjølstad Trollvilja;30094290;30099042
Kleppe Nido;Kleppe Nido;30104315;126375
Kleppe Varden;Kleppe Varden;30098502;30092611
Kolbu John;Kolbu John;30105011;30083186
Kolbu Kaizer;Kolbu Kaizer;30093537;132548
Kolnes Brage;Kolnes Brage;30103694;30104612
Kolnes Kine;Kolnes Kine;30093107;30036433
Kolnes Lene;Kolnes Lene;30104840;30077149
Kolnes Line;Kolnes Line;30102572;30083185
Komnes Russ;Komnes Russ;30103949;30046739
Kor Brage;Kor Brage;30104813;30093606
Kringlers Bror;Kringlers Bror;30104403;30093635
Kringlers Frøya;Kringlers Frøya;30104402;30083701
Kristine M.;Kristine M.;30103764;30023952
Krokstad Almira;Krokstad Almira;30104485;30036206
Kvikk Blesen;Kvikk Blesen;30109085;30078459
L.B. Valborg;L.B. Valborg;30103389;30066522
L.J.'s Dreamcatcher;L.J.'s Dreamcatcher;30068171;30105173
L.J.'s Hedda;L.J.'s Hedda;30105173;30089125
L.V. What A Hunk;L.V. What A Hunk;30097910;30054404
Lady L.S.;Lady L.S.;30121009;30008851
Lady Lara;Lady Lara;30093412;30088751
Lady Revenue;Lady Revenue;30089471;30066261
Langlands Balder;Langlands Balder;30098599;122443
Langlands Gnisten;Langlands Gnisten;30109647;30097543
Langlands Høvding;Langlands Høvding;30109649;30088612
Langlands Oda;Langlands Oda;30098598;30088612
Last Advice Genius;Last Advice Genius;30099197;30050701
Lastsundayinmay;Lastsundayinmay;30097804;30077515
Legend Seeker;Legend Seeker;30116304;30006855
Lella Syster;Lella Syster;30121089;30053877
Lesja Tara;Lesja Tara;30103360;30083474
Let's Do It;Let's Do It;30102675;30039495
Let's Go Tooma;Let's Go Tooma;30119751;30074037
Lille Frøken Støen;Lille Frøken Støen;30104778;30073559
Lille Mai;Lille Mai;30089550;127026
Lille Senumsprinsen;Lille Senumsprinsen;30067043;120887
Lin Kos;Lin Kos;30067934;30077536
Linnea Mykla;Linnea Mykla;30105187;30099012
Linntilla;Linntilla;30083354;24827
Listas Snövit;Listas Snövit;30121873;30077765
Litalill;Litalill;30098140;131927
Liv Synnøve;Liv Synnøve;30109663;132304
Livi Lady;Livi Lady ;30116421;30085430
Livi Memory;Livi Memory;30121470;30083781
Livi Nubi;Livi Nubi;30121191;30090223
Lollipop Laday;Lollipop Laday ;30118826;30114035
Lome Gant;Lome Gant;30069402;133342
