 Jarlsberg-travbane;Fredag, 17. apr 2015
 Jarlsberg-travbane;Torsdag, 9. apr 2015
 Jarlsberg-travbane;Søndag, 29. mar 2015
 Jarlsberg-travbane; Fredag, 20. mar 2015
 Jarlsberg-travbane;Fredag, 13. mar 2015
 Jarlsberg-travbane;Tirsdag, 3. mar 2015
 Jarlsberg-travbane;Fredag, 27. feb 2015
 Jarlsberg-travbane; Tirsdag, 17. feb 2015
 Jarlsberg-travbane;Lørdag, 14. feb 2015
 Jarlsberg-travbane;Fredag, 6. feb 2015
 Jarlsberg-travbane;Fredag, 30. jan 2015
 Jarlsberg-travbane; Fredag, 16. jan 2015
 Jarlsberg-travbane;Fredag, 2. jan 2015
 Jarlsberg-travbane;Fredag, 26. des 2014
 Jarlsberg-travbane;Søndag, 21. des 2014
 Jarlsberg-travbane; Lørdag, 13. des 2014
 Jarlsberg-travbane;Fredag, 5. des 2014
 Jarlsberg-travbane;Søndag, 23. nov 2014
 Jarlsberg-travbane;Lørdag, 15. nov 2014
 Jarlsberg-travbane; Fredag, 7. nov 2014
 Jarlsberg-travbane;Fredag, 31. okt 2014
 Jarlsberg-travbane;Fredag, 24. okt 2014
 Jarlsberg-travbane;Fredag, 10. okt 2014
 Jarlsberg-travbane; Lørdag, 4. okt 2014
 Jarlsberg-travbane;Torsdag, 25. sept 2014
 Jarlsberg-travbane;Fredag, 19. sept 2014
 Jarlsberg-travbane;Mandag, 1. sept 2014
 Jarlsberg-travbane; Fredag, 22. aug 2014
 Jarlsberg-travbane;Tirsdag, 12. aug 2014
 Jarlsberg-travbane;Fredag, 8. aug 2014
 Jarlsberg-travbane;Søndag, 13. jul 2014
 Jarlsberg-travbane; Lørdag, 12. jul 2014
 Jarlsberg-travbane;Fredag, 11. jul 2014
 Jarlsberg-travbane;Torsdag, 10. jul 2014
 Jarlsberg-travbane;Onsdag, 9. jul 2014
 Jarlsberg-travbane; Fredag, 4. jul 2014
 Jarlsberg-travbane;Mandag, 30. jun 2014
 Jarlsberg-travbane;Tirsdag, 24. jun 2014
 Jarlsberg-travbane;Onsdag, 11. jun 2014
 Jarlsberg-travbane; Lørdag, 31. mai 2014
 Jarlsberg-travbane;Søndag, 25. mai 2014
 Jarlsberg-travbane;Fredag, 16. mai 2014
 Jarlsberg-travbane;Lørdag, 10. mai 2014
 Jarlsberg-travbane; Fredag, 2. mai 2014
 Jarlsberg-travbane;Søndag, 27. apr 2014
 Jarlsberg-travbane;Fredag, 11. apr 2014
 Jarlsberg-travbane;Fredag, 28. mar 2014
 Jarlsberg-travbane; Fredag, 21. feb 2014
 Jarlsberg-travbane;Tirsdag, 11. feb 2014
 Jarlsberg-travbane;Fredag, 7. feb 2014
 Jarlsberg-travbane;Torsdag, 30. jan 2014
 Jarlsberg-travbane; Fredag, 24. jan 2014
 Jarlsberg-travbane;Lørdag, 18. jan 2014
 Jarlsberg-travbane;Fredag, 10. jan 2014
 Jarlsberg-travbane;Fredag, 27. des 2013
 Jarlsberg-travbane; Søndag, 15. des 2013
 Jarlsberg-travbane;Torsdag, 5. des 2013
 Jarlsberg-travbane;Fredag, 29. nov 2013
 Jarlsberg-travbane;Fredag, 15. nov 2013
 Jarlsberg-travbane; Fredag, 8. nov 2013
 Jarlsberg-travbane;Lørdag, 2. nov 2013
 Jarlsberg-travbane;Torsdag, 24. okt 2013
 Jarlsberg-travbane;Fredag, 18. okt 2013
 Jarlsberg-travbane; Torsdag, 10. okt 2013
 Jarlsberg-travbane;Søndag, 6. okt 2013
 Jarlsberg-travbane;Fredag, 27. sept 2013
 Jarlsberg-travbane;Torsdag, 19. sept 2013
 Jarlsberg-travbane; Fredag, 13. sept 2013
 Jarlsberg-travbane;Mandag, 26. aug 2013
 Jarlsberg-travbane;Fredag, 23. aug 2013
 Jarlsberg-travbane;Søndag, 18. aug 2013
 Jarlsberg-travbane; Fredag, 9. aug 2013
 Jarlsberg-travbane;Søndag, 14. jul 2013
 Jarlsberg-travbane;Lørdag, 13. jul 2013
 Jarlsberg-travbane;Fredag, 12. jul 2013
 Jarlsberg-travbane; Torsdag, 11. jul 2013
 Jarlsberg-travbane;Onsdag, 10. jul 2013
 Jarlsberg-travbane;Fredag, 5. jul 2013
 Jarlsberg-travbane;Mandag, 1. jul 2013
 Jarlsberg-travbane; Fredag, 21. jun 2013
 Jarlsberg-travbane;Fredag, 7. jun 2013
 Jarlsberg-travbane;Fredag, 31. mai 2013
 Jarlsberg-travbane;Lørdag, 18. mai 2013
 Jarlsberg-travbane; Torsdag, 16. mai 2013
 Jarlsberg-travbane;Fredag, 10. mai 2013
 Jarlsberg-travbane;Mandag, 29. apr 2013
 Jarlsberg-travbane;Fredag, 26. apr 2013
 Jarlsberg-travbane; Torsdag, 11. apr 2013
 Jarlsberg-travbane;Fredag, 5. apr 2013
 Jarlsberg-travbane;Fredag, 15. mar 2013
 Jarlsberg-travbane;Fredag, 1. mar 2013
 Jarlsberg-travbane; Fredag, 15. feb 2013
 Jarlsberg-travbane;Fredag, 1. feb 2013
 Jarlsberg-travbane;Fredag, 18. jan 2013
 Jarlsberg-travbane;Lørdag, 5. jan 2013
 Jarlsberg-travbane; Torsdag, 3. jan 2013
 Jarlsberg-travbane;Fredag, 28. des 2012
 Jarlsberg-travbane;Søndag, 23. des 2012
 Jarlsberg-travbane;Fredag, 7. des 2012
 Jarlsberg-travbane; Fredag, 23. nov 2012
 Jarlsberg-travbane;Fredag, 16. nov 2012
 Jarlsberg-travbane;Fredag, 9. nov 2012
 Jarlsberg-travbane;Lørdag, 3. nov 2012
 Jarlsberg-travbane; Søndag, 21. okt 2012
 Jarlsberg-travbane;Mandag, 15. okt 2012
 Jarlsberg-travbane;Fredag, 12. okt 2012
 Jarlsberg-travbane;Fredag, 5. okt 2012
 Jarlsberg-travbane; Fredag, 14. sept 2012
 Jarlsberg-travbane;Mandag, 3. sept 2012
 Jarlsberg-travbane;Torsdag, 30. aug 2012
 Jarlsberg-travbane;Fredag, 24. aug 2012
 Jarlsberg-travbane; Mandag, 13. aug 2012
 Jarlsberg-travbane;Fredag, 10. aug 2012
 Jarlsberg-travbane;Søndag, 15. jul 2012
 Jarlsberg-travbane;Lørdag, 14. jul 2012
 Jarlsberg-travbane; Fredag, 13. jul 2012
 Jarlsberg-travbane;Torsdag, 12. jul 2012
 Jarlsberg-travbane;Onsdag, 11. jul 2012
 Jarlsberg-travbane;Fredag, 6. jul 2012
 Jarlsberg-travbane; Tirsdag, 3. jul 2012
 Jarlsberg-travbane;Fredag, 29. jun 2012
 Jarlsberg-travbane;Tirsdag, 26. jun 2012
 Jarlsberg-travbane;Fredag, 22. jun 2012
 Jarlsberg-travbane; Mandag, 18. jun 2012
 Jarlsberg-travbane;Fredag, 1. jun 2012
 Jarlsberg-travbane;Lørdag, 19. mai 2012
 Jarlsberg-travbane;Fredag, 18. mai 2012
 Jarlsberg-travbane; Fredag, 4. mai 2012
 Jarlsberg-travbane;Fredag, 27. apr 2012
 Jarlsberg-travbane;Fredag, 13. apr 2012
 Jarlsberg-travbane;Fredag, 16. mar 2012
 Jarlsberg-travbane; Fredag, 9. mar 2012
 Jarlsberg-travbane;Fredag, 24. feb 2012
 Jarlsberg-travbane;Fredag, 3. feb 2012
 Jarlsberg-travbane;Lørdag, 28. jan 2012
 Jarlsberg-travbane; Fredag, 13. jan 2012
 Jarlsberg-travbane;Tirsdag, 10. jan 2012
 Jarlsberg-travbane;Tirsdag, 3. jan 2012
 Jarlsberg-travbane;Fredag, 30. des 2011
 Jarlsberg-travbane; Fredag, 23. des 2011
 Jarlsberg-travbane;Fredag, 16. des 2011
 Jarlsberg-travbane;Søndag, 11. des 2011
 Jarlsberg-travbane;Fredag, 2. des 2011
 Jarlsberg-travbane; Fredag, 25. nov 2011
 Jarlsberg-travbane;Fredag, 18. nov 2011
 Jarlsberg-travbane;Fredag, 11. nov 2011
 Jarlsberg-travbane;Lørdag, 5. nov 2011
 Jarlsberg-travbane; Fredag, 28. okt 2011
 Jarlsberg-travbane;Tirsdag, 18. okt 2011
 Jarlsberg-travbane;Fredag, 14. okt 2011
 Jarlsberg-travbane;Fredag, 7. okt 2011
 Jarlsberg-travbane; Fredag, 30. sept 2011
 Jarlsberg-travbane;Fredag, 23. sept 2011
 Jarlsberg-travbane;Fredag, 9. sept 2011
 Jarlsberg-travbane;Fredag, 2. sept 2011
 Jarlsberg-travbane; Lørdag, 27. aug 2011
 Jarlsberg-travbane;Fredag, 26. aug 2011
 Jarlsberg-travbane;Søndag, 21. aug 2011
 Jarlsberg-travbane;Søndag, 17. jul 2011
 Jarlsberg-travbane; Lørdag, 16. jul 2011
 Jarlsberg-travbane;Fredag, 15. jul 2011
 Jarlsberg-travbane;Torsdag, 14. jul 2011
 Jarlsberg-travbane;Onsdag, 13. jul 2011
 Jarlsberg-travbane; Fredag, 8. jul 2011
 Jarlsberg-travbane;Tirsdag, 5. jul 2011
 Jarlsberg-travbane;Fredag, 1. jul 2011
 Jarlsberg-travbane;Torsdag, 30. jun 2011
 Jarlsberg-travbane; Fredag, 24. jun 2011
 Jarlsberg-travbane;Fredag, 10. jun 2011
 Jarlsberg-travbane;Fredag, 3. jun 2011
 Jarlsberg-travbane;Fredag, 27. mai 2011
 Jarlsberg-travbane; Lørdag, 21. mai 2011
 Jarlsberg-travbane;Fredag, 6. mai 2011
 Jarlsberg-travbane;Tirsdag, 3. mai 2011
 Jarlsberg-travbane;Fredag, 29. apr 2011
 Jarlsberg-travbane; Fredag, 15. apr 2011
 Jarlsberg-travbane;Fredag, 8. apr 2011
 Jarlsberg-travbane;Fredag, 1. apr 2011
