Henrik Andersson,SVERIGE,And He,Ja,Ukjent bane,Amatør; trene og kjøre
Oskar J. Andersson,SVERIGE,And OJ,Ja,Ukjent bane,Amatør; trene og kjøre
Jenny Andersson,SVERIGE,And Je,Nei,Jägersro,Stallansatt; trene og kjøre
Peter A. Andersson,SVERIGE,And PA,Ja,Ukjent bane,Amatør; trene og kjøre
Mikaela Andersson Hjälte,SVERIGE,And Mi,Nei,Ukjent bane,Stallansatt; trene og kjøre
Mikaela Andersson Hjälte,SVERIGE,And Mi,Nei,Ukjent bane,Stallansatt; trene og kjøre
Pernilla Andersson-Liden,SVERIGE,And Pe,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
Jacob Andreasen,DANMARK,And Ja,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
Martin Andreasen,DANMARK,And Ma,Ja,Ukjent bane,Amatør; trene og kjøre
Thomas Andreassen,NORGE,And Th,Ja,Harstad Travpark,Amatør; trene og kjøre
Maria Andreassen,NORGE,And Ma,Ja,Jarlsberg Travbane,Prøvekjører; kjøre
Benedicte Andreassen,NORGE,And Be,Ja,Harstad Travpark,Prøvekjører; kjøre
Karl Andreassen,NORGE,Ka And,Ja,Drammen Travbane,Amatør; trene og kjøre
Ole Kristian Andreassen,NORGE,Ol And,Ja,Harstad Travpark,Prøvekjører; kjøre
Rune Andreasson,SVERIGE,And Ru,Ja,Ukjent bane,Amatør; trene og kjøre
Maria Andreasson,SVERIGE,And Ma,Ja,Ukjent bane,Amatør; trene og kjøre
Roberto Andreghetti,ITALIA,Ro And,Nei,ITALIA,Proff trener A; trene og kjøre
Jeromi Fuster Andreu,SPANIA,And JF,Nei,Ukjent bane,Stallansatt; trene og kjøre
Guillermo Andreu Adrover,SPANIA,And Gu,Nei,Ukjent bane,Proff trener A; trene og kjøre
Evelina Andriainen,SVERIGE,And Ev,Nei,Gävle,Stallansatt; trene og kjøre
Oddvar Anholt,NORGE,Od Anh,Ja,Jarlsberg Travbane,Amatør; trene og kjøre
Gregory J. Annaloro,U S A,Ann GJ,Nei,Ukjent bane,Proff trener A; trene og kjøre
Franck Anne,FRANKRIKE,Ann Fr,Nei,Ukjent bane,Proff trener A; trene og kjøre
Satu Antinkaapo,FINLAND,Ant Sa,Ja,Ukjent bane,Amatør; trene og kjøre
Vilde Marie Antonsen,NORGE,Ant VM,Ja,Jarlsberg Travbane,Prøvekjører; kjøre
Cato Antonsen,NORGE,Ca Ant,Nei,Momarken Travbane,Proff trener A; trene og kjøre
Thomas Antonsen,NORGE,Ant Th,Ja,Momarken Travbane,Prøvekjører; kjøre
Lisa-Cathrin Antonsen,NORGE,Li Ant,Ja,Harstad Travpark,Amatør; trene og kjøre
Morten Antonsen,NORGE,Mo Ant,Nei,Biri Travbane,Proff trener A; trene og kjøre
Gøran Antonsen,NORGE,Gø Ant,Nei,Momarken Travbane,Stallansatt; trene og kjøre
Torbjörn Antonsson,SVERIGE,Ant To,Ja,Ukjent bane,Amatør; trene og kjøre
Ahti Antti-Roiko,FINLAND,Ah Ant,Nei,FINLAND,Proff trener A; trene og kjøre
Aki Antti-Roiko,FINLAND,Ak Ant,Nei,FINLAND,Proff trener A; trene og kjøre
Martine Foldvik Anvik,NORGE,Anv MF,Ja,Jarlsberg Travbane,Prøvekjører; kjøre
Ph. Aragon,FRANKRIKE,Ara Ph,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
David Armellini,FRANKRIKE,Arm Da,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
Julie Therese Arneberg,NORGE,Ju Arn,Nei,Momarken Travbane,Proff trener A; trene og kjøre
Rebecca Arnerløf,SVERIGE,Re Arn,Nei,SVERIGE,Stallansatt; trene og kjøre
Marlene Arnesen,NORGE,Arn Ma,Ja,Harstad Travpark,Prøvekjører; kjøre
Ann-Charlotte Arnesson,SVERIGE,Arn AC,Ja,Romme,Amatør; trene og kjøre
Peter Arnqvist,SVERIGE,Arn Pe,Ja,Ukjent bane,Amatør; trene og kjøre
Peter Arnqvist,SVERIGE,Pe Arn,Nei,SVERIGE,Stallansatt; trene og kjøre
Sofia Aronsson,SVERIGE,So Aro,Nei,Ukjent bane,Stallansatt; trene og kjøre
Helle Arp-Hansen,DANMARK,Arp He,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
Mie Arp-Hansen,DANMARK,Arp Mi,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
Linda Artursson,SVERIGE,Li Art,Nei,Ukjent bane,Stallansatt; trene og kjøre
Hege Karin Arverud,NORGE,He Arv,Nei,Bergen Travpark,Stallansatt; trene og kjøre
Per Arvesen,NORGE,Pe Arv,Ja,Momarken Travbane,Amatør; trene og kjøre
Håkan Arvidsson,SVERIGE,Hå Arv,Nei,SVERIGE,Stallansatt; trene og kjøre
Rune Arvidsson,SVERIGE,Ru Arv,Ja,Ukjent bane,Amatør; trene og kjøre
