 Biri-Travbane; Fredag, 17. des 2010
 Biri-Travbane;Fredag, 10. des 2010
 Biri-Travbane;Søndag, 5. des 2010
 Biri-Travbane;Fredag, 26. nov 2010
 Biri-Travbane; Fredag, 19. nov 2010
 Biri-Travbane;Lørdag, 13. nov 2010
 Biri-Travbane;Fredag, 5. nov 2010
 Biri-Travbane;Fredag, 29. okt 2010
 Biri-Travbane; Fredag, 22. okt 2010
 Biri-Travbane;Fredag, 15. okt 2010
 Biri-Travbane;Fredag, 1. okt 2010
 Biri-Travbane;Fredag, 24. sept 2010
 Biri-Travbane; Mandag, 13. sept 2010
 Biri-Travbane;Fredag, 10. sept 2010
 Biri-Travbane;Lørdag, 4. sept 2010
 Biri-Travbane;Fredag, 3. sept 2010
 Biri-Travbane; Fredag, 27. aug 2010
 Biri-Travbane;Fredag, 20. aug 2010
 Biri-Travbane;Fredag, 13. aug 2010
 Biri-Travbane;Søndag, 1. aug 2010
 Biri-Travbane; Lørdag, 31. jul 2010
 Biri-Travbane;Fredag, 30. jul 2010
 Biri-Travbane;Søndag, 25. jul 2010
 Biri-Travbane;Torsdag, 22. jul 2010
 Biri-Travbane; Fredag, 2. jul 2010
 Biri-Travbane;Mandag, 28. jun 2010
 Biri-Travbane;Fredag, 25. jun 2010
 Biri-Travbane;Fredag, 18. jun 2010
 Biri-Travbane; Fredag, 11. jun 2010
 Biri-Travbane;Fredag, 4. jun 2010
 Biri-Travbane;Fredag, 28. mai 2010
 Biri-Travbane;Mandag, 10. mai 2010
 Biri-Travbane; Fredag, 7. mai 2010
 Biri-Travbane;Lørdag, 1. mai 2010
 Biri-Travbane;Fredag, 23. apr 2010
 Biri-Travbane;Fredag, 16. apr 2010
 Biri-Travbane; Fredag, 26. mar 2010
 Biri-Travbane;Fredag, 19. mar 2010
 Biri-Travbane;Søndag, 7. mar 2010
 Biri-Travbane;Lørdag, 27. feb 2010
 Biri-Travbane; Fredag, 12. feb 2010
 Biri-Travbane;Fredag, 5. feb 2010
 Biri-Travbane;Fredag, 29. jan 2010
 Biri-Travbane;Fredag, 15. jan 2010
 Biri-Travbane; Fredag, 1. jan 2010
 Biri-Travbane;Fredag, 18. des 2009
 Biri-Travbane;Fredag, 11. des 2009
 Biri-Travbane;Fredag, 4. des 2009
 Biri-Travbane; Fredag, 27. nov 2009
 Biri-Travbane;Lørdag, 14. nov 2009
 Biri-Travbane;Fredag, 6. nov 2009
 Biri-Travbane;Fredag, 30. okt 2009
 Biri-Travbane; Fredag, 23. okt 2009
 Biri-Travbane;Fredag, 16. okt 2009
 Biri-Travbane;Fredag, 9. okt 2009
 Biri-Travbane;Fredag, 2. okt 2009
 Biri-Travbane; Fredag, 25. sept 2009
 Biri-Travbane;Fredag, 18. sept 2009
 Biri-Travbane;Fredag, 11. sept 2009
 Biri-Travbane;Tirsdag, 8. sept 2009
 Biri-Travbane; Tirsdag, 1. sept 2009
 Biri-Travbane;Lørdag, 29. aug 2009
 Biri-Travbane;Fredag, 21. aug 2009
 Biri-Travbane;Fredag, 14. aug 2009
 Biri-Travbane; Fredag, 7. aug 2009
 Biri-Travbane;Søndag, 26. jul 2009
 Biri-Travbane;Lørdag, 25. jul 2009
 Biri-Travbane;Fredag, 24. jul 2009
 Biri-Travbane; Søndag, 19. jul 2009
 Biri-Travbane;Fredag, 17. jul 2009
 Biri-Travbane;Fredag, 26. jun 2009
 Biri-Travbane;Fredag, 19. jun 2009
 Biri-Travbane; Fredag, 12. jun 2009
 Biri-Travbane;Onsdag, 10. jun 2009
 Biri-Travbane;Onsdag, 3. jun 2009
 Biri-Travbane;Onsdag, 27. mai 2009
 Biri-Travbane; Fredag, 15. mai 2009
 Biri-Travbane;Tirsdag, 12. mai 2009
 Biri-Travbane;Tirsdag, 5. mai 2009
 Biri-Travbane;Fredag, 1. mai 2009
 Biri-Travbane; Lørdag, 25. apr 2009
 Biri-Travbane;Fredag, 17. apr 2009
 Biri-Travbane;Tirsdag, 14. apr 2009
 Biri-Travbane;Fredag, 3. apr 2009
 Biri-Travbane; Fredag, 20. mar 2009
 Biri-Travbane;Tirsdag, 17. mar 2009
 Biri-Travbane;Fredag, 6. mar 2009
 Biri-Travbane;Lørdag, 21. feb 2009
 Biri-Travbane; Fredag, 6. feb 2009
 Biri-Travbane;Fredag, 30. jan 2009
 Biri-Travbane;Fredag, 23. jan 2009
 Biri-Travbane;Fredag, 2. jan 2009
 Biri-Travbane; Fredag, 19. des 2008
 Biri-Travbane;Fredag, 12. des 2008
 Biri-Travbane;Fredag, 5. des 2008
 Biri-Travbane;Fredag, 28. nov 2008
 Biri-Travbane; Tirsdag, 18. nov 2008
 Biri-Travbane;Lørdag, 15. nov 2008
 Biri-Travbane;Fredag, 7. nov 2008
 Biri-Travbane;Fredag, 31. okt 2008
 Biri-Travbane; Fredag, 24. okt 2008
 Biri-Travbane;Fredag, 17. okt 2008
 Biri-Travbane;Fredag, 10. okt 2008
 Biri-Travbane;Tirsdag, 23. sept 2008
 Biri-Travbane; Fredag, 19. sept 2008
 Biri-Travbane;Fredag, 12. sept 2008
 Biri-Travbane;Fredag, 29. aug 2008
 Biri-Travbane;Fredag, 22. aug 2008
 Biri-Travbane; Fredag, 15. aug 2008
 Biri-Travbane;Fredag, 8. aug 2008
 Biri-Travbane;Tirsdag, 29. jul 2008
 Biri-Travbane;Søndag, 27. jul 2008
 Biri-Travbane; Lørdag, 26. jul 2008
 Biri-Travbane;Fredag, 25. jul 2008
 Biri-Travbane;Søndag, 20. jul 2008
 Biri-Travbane;Fredag, 18. jul 2008
 Biri-Travbane; Fredag, 27. jun 2008
 Biri-Travbane;Fredag, 20. jun 2008
 Biri-Travbane;Lørdag, 7. jun 2008
 Biri-Travbane;Fredag, 30. mai 2008
 Biri-Travbane; Fredag, 23. mai 2008
 Biri-Travbane;Tirsdag, 6. mai 2008
 Biri-Travbane;Fredag, 2. mai 2008
 Biri-Travbane;Lørdag, 26. apr 2008
 Biri-Travbane; Fredag, 18. apr 2008
 Biri-Travbane;Tirsdag, 8. apr 2008
 Biri-Travbane;Fredag, 4. apr 2008
 Biri-Travbane;Fredag, 28. mar 2008
 Biri-Travbane; Fredag, 7. mar 2008
 Biri-Travbane;Fredag, 29. feb 2008
 Biri-Travbane;Lørdag, 23. feb 2008
 Biri-Travbane;Fredag, 15. feb 2008
 Biri-Travbane; Fredag, 1. feb 2008
 Biri-Travbane;Fredag, 25. jan 2008
 Biri-Travbane;Fredag, 11. jan 2008
 Biri-Travbane;Lørdag, 22. des 2007
 Biri-Travbane; Fredag, 14. des 2007
 Biri-Travbane;Fredag, 7. des 2007
 Biri-Travbane;Fredag, 30. nov 2007
 Biri-Travbane;Fredag, 23. nov 2007
 Biri-Travbane; Lørdag, 10. nov 2007
 Biri-Travbane;Fredag, 2. nov 2007
 Biri-Travbane;Fredag, 26. okt 2007
 Biri-Travbane;Fredag, 19. okt 2007
 Biri-Travbane; Fredag, 12. okt 2007
 Biri-Travbane;Fredag, 5. okt 2007
 Biri-Travbane;Fredag, 28. sept 2007
 Biri-Travbane;Fredag, 21. sept 2007
 Biri-Travbane; Fredag, 14. sept 2007
 Biri-Travbane;Fredag, 7. sept 2007
 Biri-Travbane;Tirsdag, 28. aug 2007
 Biri-Travbane;Fredag, 24. aug 2007
 Biri-Travbane; Fredag, 10. aug 2007
 Biri-Travbane;Tirsdag, 31. jul 2007
